algorithm,graph,best_fitness_global,attempts,total_runtime_seconds,output
hho_rvns,cubic_1200.col,937.0,10,5882.273,results/experiments/hho_rvns/cubic_1200.json
hho_rvns,cubic_500.col,388.0,10,2547.888,results/experiments/hho_rvns/cubic_500.json
hho_rvns,le450_5b.col,76.0,10,5808.231,results/experiments/hho_rvns/le450_5b.json
hho_rvns,young3c.col,537.0,10,3776.907,results/experiments/hho_rvns/young3c.json
hho_rvns,cubic_400.col,310.0,10,1897.41,results/experiments/hho_rvns/cubic_400.json
hho_rvns,cubic_700.col,543.0,10,3146.554,results/experiments/hho_rvns/cubic_700.json
hho_rvns,dwt_503.col,153.0,10,4604.377,results/experiments/hho_rvns/dwt_503.json
hho_rvns,cubic_600.col,467.0,10,4973.433,results/experiments/hho_rvns/cubic_600.json
hho_rvns,dwt_419.col,161.0,10,5644.469,results/experiments/hho_rvns/dwt_419.json
hho_rvns,dwt_361.col,146.0,10,3189.149,results/experiments/hho_rvns/dwt_361.json
hho_rvns,dwt_607.col,224.0,10,5861.708,results/experiments/hho_rvns/dwt_607.json
hho_rvns,can_229.col,103.0,10,1633.199,results/experiments/hho_rvns/can_229.json
hho_rvns,le450_25c.col,37.0,10,9115.387,results/experiments/hho_rvns/le450_25c.json
hho_rvns,hamming10-4.col,5.0,10,9363.119,results/experiments/hho_rvns/hamming10-4.json
hho_rvns,bcspwr06.col,1197.0,10,8934.198,results/experiments/hho_rvns/bcspwr06.json
hho_rvns,dwt_346.col,166.0,10,3119.803,results/experiments/hho_rvns/dwt_346.json
hho_rvns,dwt_878.col,305.0,10,2968.763,results/experiments/hho_rvns/dwt_878.json
hho_rvns,p_hat500-2.col,9.0,10,9204.457,results/experiments/hho_rvns/p_hat500-2.json
hho_rvns,662_bus.col,529.0,10,4704.798,results/experiments/hho_rvns/662_bus.json
hho_rvns,dwt_307.col,115.0,10,2515.409,results/experiments/hho_rvns/dwt_307.json
hho_rvns,brock200_3.col,7.0,10,4061.124,results/experiments/hho_rvns/brock200_3.json
hho_rvns,dwt_245.col,150.0,10,1682.046,results/experiments/hho_rvns/dwt_245.json
hho_rvns,plat362.col,79.0,10,3741.695,results/experiments/hho_rvns/plat362.json
hho_rvns,bcsstk06.col,126.0,10,4693.493,results/experiments/hho_rvns/bcsstk06.json
hho_rvns,can_1054.col,228.0,10,8957.211,results/experiments/hho_rvns/can_1054.json
hho_rvns,le450_25b.col,91.0,10,8363.155999999999,results/experiments/hho_rvns/le450_25b.json
hho_rvns,hamming8-4.col,6.0,10,1605.012,results/experiments/hho_rvns/hamming8-4.json
hho_rvns,p_hat300-3.col,6.0,10,7979.476,results/experiments/hho_rvns/p_hat300-3.json
hho_rvns,can_838.col,198.0,10,8215.19,results/experiments/hho_rvns/can_838.json
hho_rvns,bcsstk22.col,98.0,10,950.252,results/experiments/hho_rvns/bcsstk22.json
hho_rvns,johnson16-2-4.col,5.0,10,617.301,results/experiments/hho_rvns/johnson16-2-4.json
hho_rvns,1138_bus.col,963.0,10,8120.888,results/experiments/hho_rvns/1138_bus.json
hho_rvns,myciel7.col,13.0,10,2346.951,results/experiments/hho_rvns/myciel7.json
hho_rvns,c-fat200-5.col,7.0,10,1444.339,results/experiments/hho_rvns/c-fat200-5.json
hho_rvns,c-fat200-1.col,37.0,10,602.404,results/experiments/hho_rvns/c-fat200-1.json
hho_rvns,c-fat500-1.col,80.0,10,689.653,results/experiments/hho_rvns/c-fat500-1.json
hho_rvns,bcsstk03.col,60.0,10,453.136,results/experiments/hho_rvns/bcsstk03.json
hho_rvns,hamming8-2.col,4.0,10,2354.256,results/experiments/hho_rvns/hamming8-2.json
hho_rvns,dwt_59.col,43.0,10,519.135,results/experiments/hho_rvns/dwt_59.json
hho_rvns,myciel6.col,12.0,10,1266.221,results/experiments/hho_rvns/myciel6.json
hho_rvns,bcsstm27.col,78.0,10,5717.571,results/experiments/hho_rvns/bcsstm27.json
hho_rvns,can_187.col,64.0,10,429.85699999999997,results/experiments/hho_rvns/can_187.json
hho_rvns,can_268.col,52.0,10,3415.668,results/experiments/hho_rvns/can_268.json
hho_rvns,bcspwr03.col,89.0,10,839.2280000000001,results/experiments/hho_rvns/bcspwr03.json
hho_rvns,miles250.col,69.0,10,1063.827,results/experiments/hho_rvns/miles250.json
hho_rvns,bcsstk04.col,19.0,10,2147.796,results/experiments/hho_rvns/bcsstk04.json
hho_rvns,hamming6-4.col,10.0,10,865.641,results/experiments/hho_rvns/hamming6-4.json
hho_rvns,queen7_7.col,9.0,10,722.436,results/experiments/hho_rvns/queen7_7.json
hho_rvns,johnson8-4-4.col,5.0,10,456.187,results/experiments/hho_rvns/johnson8-4-4.json
hho_rvns,queen5_5.col,7.0,10,108.917,results/experiments/hho_rvns/queen5_5.json
hho_rvns,dwt_198.col,84.0,10,303.546,results/experiments/hho_rvns/dwt_198.json
hho_rvns,dwt_66.col,39.0,10,634.396,results/experiments/hho_rvns/dwt_66.json
hho_rvns,myciel3.col,7.0,10,121.00399999999999,results/experiments/hho_rvns/myciel3.json
hho_rvns,can_144.col,36.0,10,986.355,results/experiments/hho_rvns/can_144.json
hho_rvns,david.col,6.0,10,221.024,results/experiments/hho_rvns/david.json
hho_rvns,DSJC1000.1.col,58.0,10,9203.021,results/experiments/hho_rvns/DSJC1000.1.json
hho_rvns,DSJC1000.5.col,12.0,10,9538.669,results/experiments/hho_rvns/DSJC1000.5.json
hho_rvns,DSJC1000.9.col,5.0,10,10103.995,results/experiments/hho_rvns/DSJC1000.9.json
hho_rvns,DSJC125.5.col,8.0,10,2279.375,results/experiments/hho_rvns/DSJC125.5.json
hho_rvns,DSJC500.5.col,11.0,10,9162.59,results/experiments/hho_rvns/DSJC500.5.json
hho_rvns,DSJC500.9.col,5.0,10,9483.896,results/experiments/hho_rvns/DSJC500.9.json
hho_rvns,DSJR500.1.col,118.0,10,6716.895,results/experiments/hho_rvns/DSJR500.1.json
hho_rvns,gen400_p0.9_55.col,5.0,10,9490.737,results/experiments/hho_rvns/gen400_p0.9_55.json
hho_rvns,inithx.i.2.col,180.0,10,3077.946,results/experiments/hho_rvns/inithx.i.2.json
hho_rvns,mulsol.i.3.col,26.0,10,785.019,results/experiments/hho_rvns/mulsol.i.3.json
hho_rvns,mulsol.i.5.col,26.0,10,776.734,results/experiments/hho_rvns/mulsol.i.5.json
hho_rvns,san200_0.7_1.col,6.0,10,2108.794,results/experiments/hho_rvns/san200_0.7_1.json
hho_rvns,san200_0.7_2.col,7.0,10,2333.058,results/experiments/hho_rvns/san200_0.7_2.json
hho_rvns,san400_0.5_1.col,8.0,10,9004.567000000001,results/experiments/hho_rvns/san400_0.5_1.json
hho_rvns,san400_0.7_1.col,6.0,10,10295.94,results/experiments/hho_rvns/san400_0.7_1.json
hho_rvns,sanr200_0.7.col,7.0,10,8502.286,results/experiments/hho_rvns/sanr200_0.7.json
hho_rvns,zeroin.i.1.col,175.0,10,3185.54,results/experiments/hho_rvns/zeroin.i.1.json
